GEPARALLELUPS-MIB::upsTrapAlarmUpsSystemOff 1.3.6.1.4.1.818.1.1.10.11.15
GEPARALLELUPS-MIB::upsTrapAlarmFanFailure 1.3.6.1.4.1.818.1.1.10.11.16
GEPARALLELUPS-MIB::upsTrapAlarmFuseFailure 1.3.6.1.4.1.818.1.1.10.11.17
GEPARALLELUPS-MIB::upsTrapAlarmGeneralFault 1.3.6.1.4.1.818.1.1.10.11.18
GEPARALLELUPS-MIB::upsTrapAlarmDiagnosticTestFailed 1.3.6.1.4.1.818.1.1.10.11.19
GEPARALLELUPS-MIB::upsTrapAlarmCommunicationsLost 1.3.6.1.4.1.818.1.1.10.11.20
GEPARALLELUPS-MIB::upsTrapAlarmAwaitingPower 1.3.6.1.4.1.818.1.1.10.11.21
GEPARALLELUPS-MIB::upsTrapAlarmShutdownPending 1.3.6.1.4.1.818.1.1.10.11.22
GEPARALLELUPS-MIB::upsTrapAlarmShutdownImminent 1.3.6.1.4.1.818.1.1.10.11.23
GEPARALLELUPS-MIB::upsTrapAlarmTestInProgress 1.3.6.1.4.1.818.1.1.10.11.24
GEPARALLELUPS-MIB::upsTrapAlarmReceptacleOff 1.3.6.1.4.1.818.1.1.10.11.25
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusFailure 1.3.6.1.4.1.818.1.1.10.11.26
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusJACRCFailure 1.3.6.1.4.1.818.1.1.10.11.27
GEPARALLELUPS-MIB::upsTrapAlarmConnectivityBusFailure 1.3.6.1.4.1.818.1.1.10.11.28
GEPARALLELUPS-MIB::upsTrapAlarmHighspeedBusJBCRCFailure 1.3.6.1.4.1.818.1.1.10.11.29
GEPARALLELUPS-MIB::upsTrapAlarmCurrentSharingFailure 1.3.6.1.4.1.818.1.1.10.11.30
GEPARALLELUPS-MIB::upsTrapAlarmDCRippleFailure 1.3.6.1.4.1.818.1.1.10.11.31
GEPARALLELUPS-MIB::upsTrapAlarmBatteryBadRestored 1.3.6.1.4.1.818.1.1.10.11.33
