GESINGLEUPS-MIB::upsTestResultsSummarygen 1.3.6.1.4.1.818.1.1.10.7.3
GESINGLEUPS-MIB::upsTestResultsDetailgen 1.3.6.1.4.1.818.1.1.10.7.4
GESINGLEUPS-MIB::upsTestStartTimegen     1.3.6.1.4.1.818.1.1.10.7.5
GESINGLEUPS-MIB::upsTestElapsedTimegen   1.3.6.1.4.1.818.1.1.10.7.6
GESINGLEUPS-MIB::upsWellKnownTestsgen    1.3.6.1.4.1.818.1.1.10.7.7
GESINGLEUPS-MIB::upsTestNoTestsInitiatedgen 1.3.6.1.4.1.818.1.1.10.7.7.1
GESINGLEUPS-MIB::upsTestAbortTestInProgressgen 1.3.6.1.4.1.818.1.1.10.7.7.2
GESINGLEUPS-MIB::upsTestGeneralSystemsTestgen 1.3.6.1.4.1.818.1.1.10.7.7.3
GESINGLEUPS-MIB::upsTestQuickBatteryTestgen 1.3.6.1.4.1.818.1.1.10.7.7.4
GESINGLEUPS-MIB::upsTestDeepBatteryCalibrationgen 1.3.6.1.4.1.818.1.1.10.7.7.5
GESINGLEUPS-MIB::upsControlgen           1.3.6.1.4.1.818.1.1.10.8
GESINGLEUPS-MIB::upsShutdownTypegen      1.3.6.1.4.1.818.1.1.10.8.1
GESINGLEUPS-MIB::upsShutdownAfterDelaygen 1.3.6.1.4.1.818.1.1.10.8.2
GESINGLEUPS-MIB::upsStartupAfterDelaygen 1.3.6.1.4.1.818.1.1.10.8.3
GESINGLEUPS-MIB::upsRebootWithDurationgen 1.3.6.1.4.1.818.1.1.10.8.4
GESINGLEUPS-MIB::upsAutoRestartgen       1.3.6.1.4.1.818.1.1.10.8.5
GESINGLEUPS-MIB::upsReceptaclesNumgen    1.3.6.1.4.1.818.1.1.10.8.6
GESINGLEUPS-MIB::upsReceptacleGenTable   1.3.6.1.4.1.818.1.1.10.8.7
GESINGLEUPS-MIB::upsReceptacleGenEntry   1.3.6.1.4.1.818.1.1.10.8.7.1
GESINGLEUPS-MIB::upsReceptacleLineIndexgen 1.3.6.1.4.1.818.1.1.10.8.7.1.1
GESINGLEUPS-MIB::upsReceptacleOnOffgen   1.3.6.1.4.1.818.1.1.10.8.7.1.2
GESINGLEUPS-MIB::upsUPSModegen           1.3.6.1.4.1.818.1.1.10.8.8
GESINGLEUPS-MIB::upsRectifierOnOffgen    1.3.6.1.4.1.818.1.1.10.8.9
GESINGLEUPS-MIB::upsBatteryChargeMethodgen 1.3.6.1.4.1.818.1.1.10.8.10
GESINGLEUPS-MIB::upsInverterOnOffgen     1.3.6.1.4.1.818.1.1.10.8.11
GESINGLEUPS-MIB::upsBypassOnOffgen       1.3.6.1.4.1.818.1.1.10.8.12
GESINGLEUPS-MIB::upsLoadSourcegen        1.3.6.1.4.1.818.1.1.10.8.13
GESINGLEUPS-MIB::upsConfiggen            1.3.6.1.4.1.818.1.1.10.9
GESINGLEUPS-MIB::upsConfigInputVoltagegen 1.3.6.1.4.1.818.1.1.10.9.1
GESINGLEUPS-MIB::upsConfigInputFreqgen   1.3.6.1.4.1.818.1.1.10.9.2
GESINGLEUPS-MIB::upsConfigOutputVoltagegen 1.3.6.1.4.1.818.1.1.10.9.3
GESINGLEUPS-MIB::upsConfigOutputFreqgen  1.3.6.1.4.1.818.1.1.10.9.4
GESINGLEUPS-MIB::upsConfigOutputVAgen    1.3.6.1.4.1.818.1.1.10.9.5
GESINGLEUPS-MIB::upsConfigOutputPowergen 1.3.6.1.4.1.818.1.1.10.9.6
GESINGLEUPS-MIB::upsConfigLowBattTimegen 1.3.6.1.4.1.818.1.1.10.9.7
GESINGLEUPS-MIB::upsConfigAudibleStatusgen 1.3.6.1.4.1.818.1.1.10.9.8
GESINGLEUPS-MIB::upsConfigLowVoltageTransferPointgen 1.3.6.1.4.1.818.1.1.10.9.9
GESINGLEUPS-MIB::upsConfigHighVoltageTransferPointgen 1.3.6.1.4.1.818.1.1.10.9.10
GESINGLEUPS-MIB::upsConfigBatteryCapacitygen 1.3.6.1.4.1.818.1.1.10.9.11
GESINGLEUPS-MIB::upsConfigBatteryChargeCurrentgen 1.3.6.1.4.1.818.1.1.10.9.12
GESINGLEUPS-MIB::upsConfigNoLoadShutdowngen 1.3.6.1.4.1.818.1.1.10.9.13
GESINGLEUPS-MIB::upsConfigStartDelaygen  1.3.6.1.4.1.818.1.1.10.9.14
GESINGLEUPS-MIB::upsGetSetgen            1.3.6.1.4.1.818.1.1.10.10
GESINGLEUPS-MIB::upsEventGetNextgen      1.3.6.1.4.1.818.1.1.10.10.1
GESINGLEUPS-MIB::upsEventGetPreviousgen  1.3.6.1.4.1.818.1.1.10.10.2
GESINGLEUPS-MIB::upsEventSetStartingTimeStampgen 1.3.6.1.4.1.818.1.1.10.10.3
GESINGLEUPS-MIB::upsEventRetreiveCurrentTimeStampgen 1.3.6.1.4.1.818.1.1.10.10.4
GESINGLEUPS-MIB::upsEventTableSizegen    1.3.6.1.4.1.818.1.1.10.10.5
GESINGLEUPS-MIB::upsEventGenTable        1.3.6.1.4.1.818.1.1.10.10.6
GESINGLEUPS-MIB::upsEventGenEntry        1.3.6.1.4.1.818.1.1.10.10.6.1
GESINGLEUPS-MIB::upsEventLineIndexgen    1.3.6.1.4.1.818.1.1.10.10.6.1.1
GESINGLEUPS-MIB::upsEventCodegen         1.3.6.1.4.1.818.1.1.10.10.6.1.2
GESINGLEUPS-MIB::upsEventStatusgen       1.3.6.1.4.1.818.1.1.10.10.6.1.3
GESINGLEUPS-MIB::upsEventTimegen         1.3.6.1.4.1.818.1.1.10.10.6.1.4
GESINGLEUPS-MIB::upsParametersReadgen    1.3.6.1.4.1.818.1.1.10.10.7
GESINGLEUPS-MIB::upsParametersWritegen   1.3.6.1.4.1.818.1.1.10.10.8
GESINGLEUPS-MIB::upsParametersStartAddressgen 1.3.6.1.4.1.818.1.1.10.10.9
GESINGLEUPS-MIB::upsParameterTableSizegen 1.3.6.1.4.1.818.1.1.10.10.10
GESINGLEUPS-MIB::upsParameterGenTable    1.3.6.1.4.1.818.1.1.10.10.11
GESINGLEUPS-MIB::upsParameterGenEntry    1.3.6.1.4.1.818.1.1.10.10.11.1
GESINGLEUPS-MIB::upsParameterLineIndexgen 1.3.6.1.4.1.818.1.1.10.10.11.1.1
GESINGLEUPS-MIB::upsParameterValuegen    1.3.6.1.4.1.818.1.1.10.10.11.1.2
GESINGLEUPS-MIB::upsStatusgen            1.3.6.1.4.1.818.1.1.10.10.12
GESINGLEUPS-MIB::upsMainsStatisticsMBfailgen 1.3.6.1.4.1.818.1.1.10.10.13
GESINGLEUPS-MIB::upsMainsStatisticsMRfailgen 1.3.6.1.4.1.818.1.1.10.10.14
GESINGLEUPS-MIB::upsMainsStatisticsB2gen 1.3.6.1.4.1.818.1.1.10.10.15
GESINGLEUPS-MIB::upsMainsStatisticsB5gen 1.3.6.1.4.1.818.1.1.10.10.16
GESINGLEUPS-MIB::upsMainsStatisticsB10gen 1.3.6.1.4.1.818.1.1.10.10.17
GESINGLEUPS-MIB::upsMainsStatisticsB200gen 1.3.6.1.4.1.818.1.1.10.10.18
GESINGLEUPS-MIB::upsMainsStatisticsBypRelgen 1.3.6.1.4.1.818.1.1.10.10.19
GESINGLEUPS-MIB::upsTimegen              1.3.6.1.4.1.818.1.1.10.10.20
GESINGLEUPS-MIB::upsRequestPermissiongen 1.3.6.1.4.1.818.1.1.10.10.21
GESINGLEUPS-MIB::upsEventGetCodegen      1.3.6.1.4.1.818.1.1.10.10.22
GESINGLEUPS-MIB::upsEventSpinLockgen     1.3.6.1.4.1.818.1.1.10.10.23
GESINGLEUPS-MIB::upsParameterSpinLockgen 1.3.6.1.4.1.818.1.1.10.10.24
